Date;Close;Open;High;Low;Volume;Variation %
27/04/2020;12;12;12.5;11.85;128750;0.00%
24/04/2020;12;12;12;12;1340000;0.00%
23/04/2020;12;12.35;12;12;1810000;-2.83%
22/04/2020;12.35;12.35;12.3;11.6;203680;0.00%
21/04/2020;12.35;12.35;12.35;11.4;603650;0.00%
20/04/2020;12.35;12.35;13.05;12.35;253120;0.00%
17/04/2020;12.35;12.35;13;12.35;483850;0.00%
16/04/2020;12.35;12.7;12.7;12.3;2280000;-2.76%
15/04/2020;12.7;11.7;12.7;12.2;1780000;8.55%
14/04/2020;11.7;10.7;11.7;11.7;2630000;9.35%
09/04/2020;10.7;9.75;10.7;10;1020000;9.74%
08/04/2020;9.75;8.9;9.75;9.75;106620;9.55%
07/04/2020;8.9;8.9;9.7;9.15;158780;0.00%
06/04/2020;8.9;8.9;9.7;9;285760;0.00%
03/04/2020;8.9;8.9;9.7;9.1;150580;0.00%
02/04/2020;8.9;8.9;9.7;8.95;186560;0.00%
01/04/2020;8.9;9;8.9;8.9;2970000;-1.11%
31/03/2020;9;9;9.85;9;316980;0.00%
30/03/2020;9;9;9.9;9;86800;0.00%
27/03/2020;9;9;9.9;9.1;124500;0.00%
26/03/2020;9;9;9.9;9.1;64860;0.00%
25/03/2020;9;9;9.8;9.05;26350;0.00%
24/03/2020;9;9;9.7;8.55;254130;0.00%
23/03/2020;9;10;9.3;9;1840000;-10.00%
20/03/2020;10;10;10;10;819770;0.00%
19/03/2020;10;9.85;10;9.8;836520;1.52%
18/03/2020;9.85;9.85;9.85;9.85;279910;0.00%
17/03/2020;9.85;9.85;9.85;9.85;583990;0.00%
16/03/2020;9.85;10.15;9.85;9.85;719740;-2.96%
13/03/2020;10.15;9.75;10.15;9.85;992460;4.10%
12/03/2020;9.75;9.75;9.75;9.75;431280;0.00%
11/03/2020;9.75;9.9;10;9.75;2000000;-1.52%
10/03/2020;9.9;11;9.9;9.9;618810;-10.00%
09/03/2020;11;11;11;11;196650;0.00%
06/03/2020;11;10.9;11;11;1870000;0.92%
05/03/2020;10.9;10.9;10.9;10.9;1070000;0.00%
04/03/2020;10.9;10.9;10.9;10.9;290510;0.00%
03/03/2020;10.9;12.1;11;10.9;2590000;-9.92%
02/03/2020;12.1;12.1;12.1;12.1;210160;0.00%
28/02/2020;12.1;12.1;12.1;12.1;311570;0.00%
27/02/2020;12.1;12.1;12.1;12.1;124900;0.00%
26/02/2020;12.1;12.1;12.1;12.1;185740;0.00%
25/02/2020;12.1;12.1;12.1;12.1;225040;0.00%
24/02/2020;12.1;12.1;12.1;12.1;636610;0.00%
21/02/2020;12.1;12.1;12.1;12.1;427420;0.00%
20/02/2020;12.1;12.1;12.1;12.1;454030;0.00%
19/02/2020;12.1;12.35;12.1;12.1;715510;-2.02%
18/02/2020;12.35;12.35;12.35;12.35;312790;0.00%
17/02/2020;12.35;12.85;12.35;12.35;248650;-3.89%
14/02/2020;12.85;12.85;12.85;12.85;240480;0.00%
13/02/2020;12.85;12.85;12.85;12.85;159820;0.00%
12/02/2020;12.85;12.8;12.85;12.85;1370000;0.39%
11/02/2020;12.8;13.4;12.8;12.8;393260;-4.48%
10/02/2020;13.4;13.4;13.4;13.4;394960;0.00%
07/02/2020;13.4;12.95;13.4;13.4;826700;3.47%
06/02/2020;12.95;12.95;12.95;12.95;165210;0.00%
05/02/2020;12.95;12.45;12.95;12.95;514680;4.02%
04/02/2020;12.45;13.8;12.45;12.45;754530;-9.78%
03/02/2020;13.8;13.8;13.8;13.8;603480;0.00%
31/01/2020;13.8;13.8;13.8;13.8;392690;0.00%
30/01/2020;13.8;13.8;13.8;13.8;325040;0.00%
29/01/2020;13.8;13.8;13.8;13.8;459210;0.00%
28/01/2020;13.8;13.8;13.8;13.8;324390;0.00%
27/01/2020;13.8;13.9;13.9;13.8;2080000;-0.72%
24/01/2020;13.9;14.65;13.9;13.9;967670;-5.12%
23/01/2020;14.65;14.65;14.65;14.65;1100000;0.00%
22/01/2020;14.65;14.65;14.65;14.65;311090;0.00%
21/01/2020;14.65;14.65;14.65;14.65;1410000;0.00%
20/01/2020;14.65;14.65;14.65;14.65;719040;0.00%
17/01/2020;14.65;14.65;14.65;14.65;852580;0.00%
16/01/2020;14.65;14.5;14.65;14.6;1020000;1.03%
15/01/2020;14.5;14.8;14.65;14.5;1230000;-2.03%
14/01/2020;14.8;14.8;14.8;14.8;398330;0.00%
13/01/2020;14.8;15;14.9;14.75;630280;-1.33%
10/01/2020;15;15;15;15;1680000;0.00%
09/01/2020;15;15;15.1;15;4250000;0.00%
08/01/2020;15;15.05;15.15;15;3620000;-0.33%
07/01/2020;15.05;15.05;15.05;15;2260000;0.00%
06/01/2020;15.05;14.2;15.05;14.95;4400000;5.99%
03/01/2020;14.2;14;14.5;14.2;1440000;1.43%
02/01/2020;14;13.6;14;14;1360000;2.94%
31/12/2019;13.6;13.8;13.6;13.6;1110000;-1.45%
30/12/2019;13.8;13.8;13.8;13.8;298090;0.00%
27/12/2019;13.8;13.65;13.8;13.8;6300000;1.10%
24/12/2019;13.65;14.45;14;13.65;557660;-5.54%
23/12/2019;14.45;14.9;14.45;14.45;470630;-3.02%
20/12/2019;14.9;16.55;15.25;14.9;1420000;-9.97%
19/12/2019;16.55;16.55;16.55;16.55;452090;0.00%
18/12/2019;16.55;16.55;16.55;16.55;387160;0.00%
17/12/2019;16.55;16.55;16.55;16.55;718110;0.00%
16/12/2019;16.55;16.55;16.55;16.55;690740;0.00%
13/12/2019;16.55;16;16.6;16.35;1860000;3.44%
12/12/2019;16;15.1;16.2;16;1850000;5.96%
11/12/2019;15.1;15;15.1;14.95;2300000;0.67%
10/12/2019;15;15;15;15;5320000;0.00%
09/12/2019;15;15;15;15;3520000;0.00%
06/12/2019;15;14.8;15;14.5;6640000;1.35%
05/12/2019;14.8;13.7;14.8;13.6;3250000;8.03%
04/12/2019;13.7;13.7;13.7;13.7;762130;0.00%
03/12/2019;13.7;13.8;13.8;13.7;2860000;-0.72%
02/12/2019;13.8;13.8;13.8;13.8;255060;0.00%
29/11/2019;13.8;13.8;13.8;13.8;110020;0.00%
28/11/2019;13.8;14.5;13.8;13.8;428050;-4.83%
27/11/2019;14.5;14.6;14.5;14.2;3000000;-0.68%
26/11/2019;14.6;13.8;14.75;14.25;18890000;5.80%
25/11/2019;13.8;12.75;13.8;13;4870000;8.24%
22/11/2019;12.75;13.1;12.75;12.75;1410000;-2.67%
21/11/2019;13.1;12.25;13.1;12.25;3420000;6.94%
20/11/2019;12.25;12.1;12.25;11.3;4340000;1.24%
19/11/2019;12.1;11.95;12.1;11.75;13900000;1.26%
18/11/2019;11.95;11.7;11.95;11.6;8910000;2.14%
15/11/2019;11.7;10.9;11.7;10.9;6860000;7.34%
14/11/2019;10.9;9.95;10.9;10.85;10330000;9.55%
